Gene,Hw1-5a,Hw1-5b,Hw1-5c,Hw2-5a,Hw2-5b,Hw2-5c,Wt1-5a,Wt1-5b,Wt1-5c,Wt2-5a,Wt2-5b,Wt2-5c
erd-2,60,55,63,51,67,44,20,36,36,11,22,6
ERD2A,44,34,73,63,80,24,22,36,70,16,38,24
ERD4,184,154,270,211,222,113,107,152,318,99,158,70
ERDJ2,81,74,178,109,129,64,45,61,84,40,56,26
ERDJ3B,78,53,94,96,99,38,26,48,48,21,21,20
ERECTA,57,82,168,112,97,58,44,52,72,35,39,47
ERF2,132,110,186,180,155,99,33,56,48,18,27,22
erg10,747,533,929,766,816,527,281,558,724,243,311,247
ERG3,54,35,72,60,65,29,28,46,80,28,43,17
ERI3,243,193,333,285,291,220,131,211,253,105,113,107
erkA,16,11,26,20,25,7,8,9,13,4,3,3
ERP29,170,111,236,202,208,118,51,67,133,51,65,64
eryA,343,239,600,458,562,212,105,149,145,41,54,39
eryG,39,41,94,75,78,41,27,49,60,13,26,17
esf2,9,6,22,13,30,3,2,8,6,4,4,0
Esi_0076_0031,40,36,44,45,55,27,4,16,25,5,12,20
esrp1,10,11,35,20,29,18,8,14,19,6,13,12
ESS1,35,18,30,55,63,33,48,52,66,28,32,12
est,105,84,159,157,163,75,71,109,161,74,78,63
estA,44,52,84,44,46,31,40,53,63,28,27,35
esyt3,493,457,873,924,1027,437,373,542,725,303,390,278
ETFB,126,46,106,82,137,57,38,58,71,25,40,21
etfdh,382,300,576,739,616,349,1149,1432,793,119,1624,252
ETHE1,108,116,167,69,71,57,15,47,59,26,34,28
ETN8,186,115,232,324,328,108,93,123,201,58,101,64
Evi5,7,17,16,21,15,11,17,26,44,9,16,15
exd1,495,362,558,470,488,306,119,315,396,150,172,76
EXD3,45,18,20,66,87,29,17,29,39,17,22,10
exgA,49,38,82,65,70,41,28,61,71,35,21,25
exo1,122,78,128,110,134,64,10,35,28,13,21,7
EXOSC2,40,28,52,49,45,24,5,24,35,7,19,8
Exosc8,14,3,9,6,11,5,2,3,1,1,2,5
EXPA10,471,312,542,539,572,314,137,239,353,143,180,120
F8H,8,8,10,18,20,2,5,4,16,9,5,1
FAB1D,9,6,18,41,31,18,14,22,35,18,16,8
fabG,3,1,8,2,17,5,4,5,3,2,2,1
FACE1,230,231,326,186,162,148,109,200,330,120,128,102
FAD2,134,99,240,169,186,95,44,89,117,28,66,46
FAD4L1,37,32,55,36,43,17,8,17,9,4,11,2
fadA,4,4,4,12,9,14,4,7,8,6,6,0
fadB,3,4,3,10,10,4,3,8,7,3,4,6
fadD29,14,21,51,38,21,14,16,29,36,10,20,5
FADS2P1,376,351,599,274,329,230,95,196,217,82,100,58
faeC,14,8,19,16,15,7,10,11,20,4,16,14
Faf1,55,27,83,64,83,26,9,22,16,6,8,5
fah,59,37,102,107,139,50,40,64,99,35,55,43
FAL1,38,24,35,16,17,23,5,13,12,8,8,2
FAM184A,31,21,57,29,25,23,36,50,81,35,54,38
Fam221a,35,26,32,22,33,29,5,5,12,3,5,0
Fam3b,21,25,38,34,31,20,5,7,18,8,15,8
FAM3D,110,85,197,126,161,72,33,45,70,25,21,19
FAM72A,168,126,226,105,100,78,58,62,97,42,50,31
FAR1,6,29,36,27,24,26,11,15,39,15,13,14
FAZ1,275,238,406,374,416,212,122,227,430,131,239,121
fba,133,107,228,196,229,100,107,139,182,69,123,111
FBA1,201,182,327,359,308,156,60,103,139,44,78,52
fbaA,16,6,24,24,47,6,1,5,0,3,2,0
FBL4,0,1,1,6,9,0,5,3,2,0,0,3
fbp,150,71,148,118,166,50,23,65,75,26,34,12
FBXO18,55,57,99,88,103,50,29,49,66,24,37,18
FCA,33,34,65,45,47,31,17,33,43,20,22,14
FCP,212,115,266,332,501,121,85,172,141,56,59,35
FCPA,4,2,5,6,8,0,0,0,0,0,0,0
FCPB,315,266,623,485,527,192,123,223,258,108,138,87
FCPE,867,562,1170,1502,1804,549,351,584,685,259,367,244
