Gene,Hw1-1a,Hw1-1b,Hw1-1c,Hw2-1a,Hw2-1b,Hw2-1c,Wt1-1a,Wt1-1b,Wt1-1c,Wt2-1a,Wt2-1b,Wt2-1c
PNC1,51,49,65,84,52,44,37,72,54,105,16,33
pncA,26,54,51,44,34,18,18,25,12,59,2,8
PNO,93,83,84,120,55,52,37,75,28,64,16,35
Pnpla2,82,116,166,118,57,40,40,92,34,123,23,27
PNPLA4,53,72,94,95,46,45,43,75,42,91,8,23
PNS1,154,129,151,155,102,69,91,150,95,209,42,56
POB3,150,125,182,222,143,127,97,203,105,317,54,130
podJ,9,9,16,24,12,8,8,21,11,29,7,7
Pol,134,187,167,199,138,91,63,137,64,189,43,67
POLA2,4,6,13,14,5,1,5,8,3,4,2,3
POLB,54,62,65,89,68,56,21,57,20,102,22,30
POLH,6,7,11,17,2,3,7,9,4,8,6,10
POLL,8,11,5,18,11,6,8,12,3,12,4,4
polr1c,8,26,17,18,8,13,23,49,16,43,11,20
Polr2h,39,35,45,38,17,19,17,32,17,23,4,10
polr3a,2,5,3,2,6,1,4,12,9,16,6,4
POLR3C,2,6,7,8,2,6,8,8,0,10,2,3
pop1,40,58,57,98,41,44,29,69,23,76,12,40
por,12,10,19,17,2,4,2,5,3,7,0,2
POSTN,2,9,11,14,8,0,4,22,11,12,10,3
PP2A4,74,104,135,93,69,57,59,105,36,137,28,49
PP5,0,2,1,1,0,4,0,1,0,2,0,0
ppaX,29,39,36,17,8,7,6,8,5,20,1,5
ppc,28,43,54,42,24,18,17,38,24,48,10,13
PPC4-2,45,58,59,95,43,27,32,64,26,80,9,24
PPC6-7,14,18,25,55,24,17,14,41,13,32,4,12
ppdK,229,309,339,417,264,186,191,434,201,467,137,209
ppe1,16,12,22,28,5,12,5,13,8,20,5,6
Ppef1,30,31,51,76,38,23,42,93,42,123,12,35
PPERSA_03334,87,84,104,81,41,28,14,55,15,60,28,38
PPERSA_07180,0,0,0,5,1,2,1,0,0,0,2,0
pph-5,115,106,97,156,72,83,52,124,102,165,39,52
ppiA,186,182,214,234,143,158,78,97,64,215,39,69
ppiC,93,82,83,110,49,48,22,70,27,86,19,23
PPID,20,16,18,21,17,10,13,25,13,25,6,4
PPIG,18,30,20,44,11,18,10,20,6,26,1,4
PPIL6,18,43,40,36,18,19,29,59,30,44,9,25
ppk5,13,37,58,35,18,6,26,61,41,85,33,35
PPL_09762,2,3,4,21,14,14,15,34,17,33,14,10
Ppm1l,29,38,35,60,19,28,13,18,5,40,6,10
Ppp1cc,10,17,21,13,11,16,17,30,18,39,7,18
PPP1R12A,27,35,33,47,20,15,6,13,4,26,7,5
Ppp5c,78,84,97,114,71,46,73,114,77,178,37,49
ppsA,279,370,411,624,345,255,245,526,200,465,101,202
ppsB,3,15,18,26,11,3,28,43,20,38,9,18
ppsC,429,424,499,625,348,307,311,718,400,832,167,322
