Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
ppdK,677,869,909,648,1037,640,668,528,552,1154,383
ppiA,447,464,413,372,443,86,209,93,103,234,72
Ppp5c,202,262,245,229,204,135,137,147,182,252,91
ppsA,843,1074,1085,899,1230,574,844,526,554,1201,371
ppsC,1207,1414,1342,1099,1336,805,941,757,795,1583,522
ppsD,89,83,97,89,132,76,88,83,89,172,58
PRKAA1,312,356,343,368,484,137,282,101,120,238,69
PRKACA,956,1262,1217,866,1202,483,781,550,509,973,357
PRKG1,484,596,556,365,497,233,345,228,206,471,163
prmC,81,86,89,114,134,47,73,44,63,117,58
proP,362,472,426,268,299,159,170,179,178,380,122
proS,220,242,193,187,192,65,113,75,75,116,47
prp4,1028,802,610,834,737,205,459,272,208,386,151
PRP40A,110,138,138,148,193,138,150,141,154,312,120
Prss16,306,364,364,319,298,182,221,182,197,389,145
psmD10,131,145,161,116,136,54,85,59,68,146,37
ptc1,285,360,262,287,304,156,225,168,151,345,106
PTCHD2,29,67,73,33,84,65,43,59,47,115,16
Ptchd3,330,434,514,334,565,384,403,335,315,640,181
pth,247,253,267,215,240,147,196,164,147,370,122
PUB51,23,32,37,16,35,39,32,29,36,63,18
pum,119,194,244,127,175,82,131,76,76,145,43
PUMP5,570,749,771,500,646,253,439,281,307,696,222
PYK,1159,1444,1573,1558,1834,678,1253,704,696,1583,552
R1,546,678,611,484,537,282,357,299,296,635,204
Rad54b,40,30,32,28,38,14,35,27,36,60,29
RAD5A,415,565,537,383,550,168,350,202,208,478,164
RAE1,273,329,298,238,217,125,157,121,127,260,91
Rai14,168,219,204,156,174,68,125,73,74,143,60
rbcL,1058,1465,1687,1204,1566,1077,1320,932,1013,2008,728
RBCMT,50,66,62,52,61,16,40,19,18,47,16
Rbm17,222,259,269,249,252,79,182,87,78,178,38
RBM25,61,84,80,50,73,36,57,43,53,109,25
Rcbtb2,194,250,265,206,235,112,169,111,116,238,91
RCN3,151,204,174,123,156,61,92,75,62,134,52
RDR1,169,216,209,218,235,60,160,78,71,156,71
retsat,328,407,432,246,350,359,243,372,399,808,284
rev1,475,457,428,381,370,117,298,99,114,267,74
RF_0381,655,809,853,824,991,413,697,413,438,812,263
rfc1,273,314,377,279,390,156,283,173,196,377,105
RH35,191,225,243,199,212,109,144,120,134,329,95
ribBA,88,116,123,62,78,36,52,52,37,80,24
rlmJ,511,669,677,408,649,267,370,241,293,562,150
rlmN,76,93,110,81,120,35,67,29,38,79,18
rluC,123,151,152,167,160,55,109,79,87,222,71
Rnf103,43,50,57,42,41,20,30,20,23,39,12
RNF13,133,148,152,183,220,86,119,85,82,186,56
rnf44,338,372,355,305,360,92,194,86,81,188,67
rngB,164,182,153,85,109,42,56,43,52,88,36
rnhA,246,316,280,184,247,102,142,115,110,219,98
RNR1,968,1177,1238,1045,1235,821,945,863,883,1789,560
RPA1,539,656,737,634,811,418,528,330,371,775,287
rpl-22,882,757,619,610,601,166,319,230,207,363,156
rpl1202,1150,906,845,917,1051,277,681,459,351,552,234
RPL15,648,647,705,733,724,284,458,295,307,553,162
rpl2302,747,566,446,580,638,187,449,249,203,324,171
rpl24,1169,977,799,769,769,142,400,153,144,320,103
RPL3,1293,1244,1068,1200,1264,853,1150,671,803,1131,664
Rpl30,1713,1345,1107,1172,1447,408,934,604,512,913,339
RPL34,1005,1002,1121,933,1058,426,744,577,466,912,307
RPL35,1934,1760,1561,1575,1702,491,1065,630,656,1216,425
RPL36A,362,271,281,198,183,106,158,145,124,266,80
rpl401,946,1054,903,959,957,339,567,435,401,704,209
RPL5,2521,2329,2294,2176,2294,751,1357,1074,993,1816,682
RPL6,1922,1588,1362,1487,1454,395,943,555,450,747,233
RPL7A,2183,2116,1839,1986,2119,673,1386,931,817,1311,469
rplP,249,304,289,399,381,209,260,226,201,426,134
RPS12,1067,984,876,987,1008,307,610,355,355,678,243
RPS13,1471,1203,1033,1022,1025,243,588,283,261,484,172
RPS15,597,598,531,510,479,196,321,234,238,391,143
RPS16,2582,2199,2107,1816,1972,623,1403,759,732,1324,492
RPS17,537,513,391,292,244,159,280,220,137,308,124
RPS18,576,488,386,328,346,105,229,162,147,225,104
RPS19A,318,239,192,232,209,38,125,54,63,104,46
rps20,362,320,297,240,202,69,134,72,87,163,63
RPS21,268,234,150,200,195,42,147,83,59,84,40
RPS29,371,388,526,315,386,86,221,105,106,228,77
RPS6,2150,1988,1867,1798,2212,763,1520,848,875,1621,545
rpsA,135,198,200,89,102,55,92,39,40,139,53
