"","baseMean","log2FoldChange","pvalue","padj"
"SymbC1.scaffold6818.3",1.39829354947435,1.22153062406396,0.0804776025287314,NA
"SymbC1.scaffold5615.1",0.560855323705564,1.21863274874818,0.267881986835236,NA
"SymbC1.scaffold3093.2",6.64595429887013,1.21413384977889,7.55399492132269e-05,NA
"SymbC1.scaffold380.8",6.77247669117464,1.2112417672717,0.000408916393114656,NA
"SymbC1.scaffold1708.5",3.47515868219315,1.2111080670695,0.00602150355197957,NA
"SymbC1.scaffold13845.1",1.11511483768426,1.2063061503791,0.110126392071996,NA
"SymbC1.scaffold627.8",0.748458541470876,1.20572752741207,0.19374958509899,NA
"SymbC1.scaffold3338.2",0.89561747691012,1.19981032698759,0.166253496961955,NA
"SymbC1.scaffold4619.2",5.62096664467258,1.19904052085254,0.000341492536258169,NA
"SymbC1.scaffold151.3",2.34344478797776,1.19612423169773,0.026838409416477,NA
"SymbC1.scaffold2547.1",3.0673818704931,1.19445468882062,0.00988829732262829,NA
"SymbC1.scaffold5048.1",0.460452247606669,1.19203953496899,0.267278526958976,NA
"SymbC1.scaffold3484.2",0.420666207353819,1.19007079607113,0.396685479626419,NA
"SymbC1.scaffold7269.1",1.0755650924211,1.18789211595593,0.138487140673787,NA
"SymbC1.scaffold4453.1",1.94200858653116,1.18703818785879,0.042778804632659,NA
"SymbC1.scaffold7273.1",1.05352201157386,1.18670010562048,0.126391252406583,NA
"SymbC1.scaffold4848.3",21.6490035794537,1.18127650618701,3.9528486366771e-07,0.000230572701630173
"SymbC1.scaffold2323.4",1.35959702270669,1.17982813799075,0.109639577906188,NA
"SymbC1.scaffold451.10",6.34722226721507,1.17973675635215,0.00482574807981837,NA
"SymbC1.scaffold5252.4",4.56203399069382,1.17911730951403,0.0270129748324496,NA
"SymbC1.scaffold4160.4",1.5511744992827,1.17538329502393,0.073635592854204,NA
"SymbC1.scaffold969.4",0.545953100976531,1.17342387024907,0.287641892391049,NA
"SymbC1.scaffold6441.1",0.652537714490779,1.17241249274412,0.197968308363532,NA
