Gene,Hw1-4a,Hw1-4b,Hw1-4c,Hw2-4a,Hw2-4b,Hw2-4c,Wt1-4a,Wt1-4b,Wt1-4c,Wt2-4a,Wt2-4b,Wt2-4c
AK812_SmicGene25158,31,14,12,40,29,27,7,8,33,12,8,30
AK812_SmicGene25158,65,44,35,111,77,61,79,64,171,48,108,160
AK812_SmicGene25379,155,113,87,216,142,111,78,73,178,84,71,183
AK812_SmicGene25430,50,25,22,54,38,30,16,17,56,11,19,54
AK812_SmicGene25788,24,20,15,34,20,41,12,18,50,28,38,78
AK812_SmicGene25788,1,0,0,1,2,4,7,3,9,2,8,5
AK812_SmicGene25788,43,24,25,65,35,26,21,22,74,32,22,86
AK812_SmicGene25788,4,2,5,31,19,21,11,8,29,14,13,39
AK812_SmicGene25788,78,45,58,116,98,79,80,86,210,62,127,220
AK812_SmicGene25788,18,14,12,55,26,34,37,42,108,34,57,128
AK812_SmicGene25788,207,150,135,437,256,260,160,143,446,189,250,423
AK812_SmicGene25788,18,17,27,16,13,19,22,21,56,47,45,110
AK812_SmicGene25788,48,38,35,71,24,40,69,57,129,96,140,283
AK812_SmicGene25788,17,8,9,130,73,57,37,29,126,35,78,120
AK812_SmicGene25788,12,10,13,64,53,51,27,17,76,34,28,89
AK812_SmicGene25898,29,19,14,16,13,16,25,25,69,37,24,62
AK812_SmicGene26211,12,16,14,25,18,17,4,4,26,10,4,22
AK812_SmicGene26829,9,8,5,25,8,11,2,8,28,12,17,19
AK812_SmicGene26895,169,107,91,240,168,146,49,41,119,75,51,154
AK812_SmicGene26898,74,55,30,119,53,53,34,36,77,49,38,104
AK812_SmicGene28,28,16,15,37,31,16,17,16,49,26,24,73
AK812_SmicGene28199,62,40,47,79,54,36,36,46,114,58,44,137
AK812_SmicGene28286,45,34,23,93,39,61,35,47,137,52,80,193
AK812_SmicGene28609,70,51,40,91,50,43,74,90,249,87,106,222
AK812_SmicGene28881,30,28,12,28,27,24,9,8,22,9,14,18
AK812_SmicGene28950,64,53,21,88,59,53,26,40,97,47,31,70
AK812_SmicGene29814,6,13,6,10,10,5,1,0,8,2,1,13
AK812_SmicGene29927,9,7,4,15,13,5,11,8,22,15,12,19
AK812_SmicGene30020,3,0,0,0,3,3,1,2,5,3,2,0
AK812_SmicGene30278,32,20,10,22,13,16,17,15,37,15,10,34
AK812_SmicGene30486,187,135,95,110,88,63,152,142,433,160,212,432
AK812_SmicGene31214,84,63,59,127,69,68,80,85,196,76,127,259
AK812_SmicGene31214,0,3,0,1,0,0,3,5,6,3,0,5
AK812_SmicGene31484,112,95,94,169,118,121,117,126,301,115,163,304
AK812_SmicGene31537,170,153,115,231,170,124,140,113,371,166,149,322
AK812_SmicGene31550,15,8,5,3,4,5,0,1,14,6,4,11
AK812_SmicGene31628,58,48,46,67,52,49,29,25,75,35,34,85
AK812_SmicGene31801,14,21,15,58,33,25,33,23,88,35,27,74
AK812_SmicGene32143,19,16,15,29,17,24,3,3,26,9,11,23
AK812_SmicGene32175,33,27,11,56,43,35,23,32,69,27,18,57
AK812_SmicGene32534,41,29,25,39,36,26,56,52,147,57,49,124
AK812_SmicGene33142,227,157,155,370,209,188,117,100,305,114,90,207
