Gene,Hw1-1a,Hw1-1b,Hw1-1c,Hw2-1a,Hw2-1b,Hw2-1c,Wt1-1a,Wt1-1b,Wt1-1c,Wt2-1a,Wt2-1b,Wt2-1c
AK812_SmicGene24054,0,1,3,3,0,0,12,13,6,4,1,0
AK812_SmicGene24054,1,2,4,9,0,2,4,13,2,7,2,3
AK812_SmicGene2419,34,59,46,67,30,35,24,62,31,99,20,35
AK812_SmicGene24289,61,85,66,97,46,59,45,77,47,127,27,47
AK812_SmicGene24289,103,99,114,131,72,81,59,98,43,135,25,38
AK812_SmicGene24373,57,79,101,141,54,58,31,50,28,108,20,19
AK812_SmicGene24476,23,29,23,20,11,10,2,13,7,17,4,1
AK812_SmicGene24524,1,5,3,11,7,11,3,14,2,16,1,2
AK812_SmicGene24564,0,0,0,0,0,0,5,12,7,1,0,0
AK812_SmicGene24679,1,0,1,4,0,1,0,0,0,0,0,0
AK812_SmicGene24741,7,5,4,4,5,4,0,2,0,1,1,1
AK812_SmicGene25061,26,21,27,22,12,27,10,24,10,32,2,14
AK812_SmicGene25158,14,16,17,20,5,16,7,12,5,14,1,3
AK812_SmicGene25158,15,30,34,72,32,37,28,75,52,121,16,27
AK812_SmicGene25379,96,122,122,158,93,63,41,89,45,136,20,31
AK812_SmicGene25430,31,31,43,38,22,28,21,38,26,49,3,13
AK812_SmicGene25788,5,13,20,13,7,7,8,16,13,43,24,15
AK812_SmicGene25788,0,1,0,0,0,0,2,6,1,2,1,1
AK812_SmicGene25788,6,13,14,33,12,19,9,45,22,45,10,22
AK812_SmicGene25788,1,1,1,12,4,3,9,7,6,24,5,2
AK812_SmicGene25788,28,23,38,41,31,19,26,70,42,91,36,48
AK812_SmicGene25788,8,4,9,11,8,9,16,42,16,31,21,27
AK812_SmicGene25788,68,94,136,179,117,81,70,194,91,235,53,75
AK812_SmicGene25788,3,6,6,6,2,1,12,12,8,14,13,16
AK812_SmicGene25788,15,23,30,23,11,4,26,65,25,57,40,57
AK812_SmicGene25788,4,2,10,61,24,19,18,42,13,78,17,26
AK812_SmicGene25788,0,3,5,34,27,17,15,35,20,53,15,24
AK812_SmicGene25898,7,17,23,6,5,4,17,31,19,14,8,18
AK812_SmicGene26211,10,18,15,21,8,13,2,10,6,11,3,7
AK812_SmicGene26829,3,6,6,9,4,1,3,1,5,11,2,1
AK812_SmicGene26895,54,76,107,121,63,39,26,47,26,129,9,31
AK812_SmicGene26898,31,56,65,47,40,30,37,49,26,73,14,17
AK812_SmicGene28,19,18,23,29,13,14,16,28,15,30,13,12
AK812_SmicGene28199,23,30,43,54,31,21,34,52,23,65,14,20
AK812_SmicGene28286,18,23,36,65,36,35,46,57,36,89,29,40
AK812_SmicGene28609,47,58,81,71,27,28,59,125,44,90,32,44
AK812_SmicGene28881,3,11,24,15,12,4,5,6,4,15,0,3
