Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SymbC1.scaffold5167.4,14.20132434,-0.266987118,0.190596394,-1.400798368,0.161274377,0.27358711,FALSE
SymbC1.scaffold5167.5,11.15191754,0.097746314,0.204037004,0.4790617,0.631894736,0.748336072,FALSE
SymbC1.scaffold5168.5,0,NA,NA,NA,NA,NA,NA
SymbC1.scaffold5168.6,19.00601709,-0.033642135,0.171125312,-0.196593563,0.844145608,0.902358545,FALSE
SymbC1.scaffold5168.7,1.216369279,1.516881013,0.71114092,2.133024511,0.032922716,0.077075166,FALSE
SymbC1.scaffold5169.1,13.25214649,0.209352228,0.22497295,0.930566223,0.352077993,0.493044451,FALSE
SymbC1.scaffold5169.2,5.800959071,0.317079972,0.291369404,1.088240453,0.276488971,0.413554607,FALSE
SymbC1.scaffold517.1,478.8505824,-0.331797373,0.092781612,-3.576111333,3.49e-4,0.001540183,TRUE
SymbC1.scaffold517.2,98.15110016,0.077310804,0.088534865,0.873224396,0.38254078,0.524095246,FALSE
SymbC1.scaffold517.3,53.84780187,0.447203883,0.120739733,3.703866767,2.12e-4,9.94e-4,TRUE
SymbC1.scaffold517.4,12.16521447,0.146610131,0.196175781,0.747340625,0.454857976,0.593378165,FALSE
SymbC1.scaffold517.5,53.2556799,0.227866386,0.132973382,1.713624052,0.086597793,0.167975382,FALSE
SymbC1.scaffold517.6,140.7441021,-0.420362936,0.101523093,-4.140564717,3.46e-5,1.96e-4,TRUE
SymbC1.scaffold517.7,131.7953175,0.285613684,0.115658116,2.469465133,0.01353152,0.036663977,TRUE
SymbC1.scaffold517.8,114.8161464,0.096627607,0.07952345,1.215083187,0.224334365,0.35313741,FALSE
SymbC1.scaffold517.9,244.3283045,-0.066922997,0.081164137,-0.824539013,0.409633358,0.551146929,FALSE
SymbC1.scaffold517.10,66.18238278,0.460477686,0.10357656,4.445771201,8.76e-6,5.69e-5,TRUE
SymbC1.scaffold517.11,43.42587353,-0.197333199,0.117259853,-1.682870932,0.09240008,0.177095092,FALSE
