Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SymbC1.scaffold1.965,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.966,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.971,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.974,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.975,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.981,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.982,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.984,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.989,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.992,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.993,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.996,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.998,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.999,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1000,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1004,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1009,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1010,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1012,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1013,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1015,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1018,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1020,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1024,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1025,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1029,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1031,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1035,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1036,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1040,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1044,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1048,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1051,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1060,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1061,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1062,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1067,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1068,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1069,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1075,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1076,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1078,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1079,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1082,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1084,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1085,0,NA,NA,NA,NA,NA
SymbC1.scaffold1.1087,0,NA,NA,NA,NA,NA
