Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SymbC1.scaffold1122.2,15.22380634,-0.578903445,0.19343361,-2.992775894,0.002764527,0.009387721,TRUE
SymbC1.scaffold1122.3,102.7053836,-0.508126265,0.177930684,-2.855754022,0.004293476,0.013719012,TRUE
SymbC1.scaffold1122.4,1.131062909,-1.407739917,0.59318262,-2.373198183,0.017634799,0.045757115,TRUE
SymbC1.scaffold11221.1,16.95925009,-1.060465448,0.174261622,-6.085479034,1.16E-09,1.54E-08,TRUE
SymbC1.scaffold11223.1,186.2887341,0.570171953,0.096475742,5.910003311,3.42E-09,4.20E-08,TRUE
SymbC1.scaffold11225.2,50.93503872,-0.71742092,0.11554227,-6.20916415,5.33E-10,7.40E-09,TRUE
SymbC1.scaffold11226.2,20.15863266,-1.068791183,0.175047415,-6.1057239,1.02E-09,1.37E-08,TRUE
SymbC1.scaffold1123.1,27.42887395,0.404687157,0.155499397,2.602499847,0.009254686,0.026566084,TRUE
SymbC1.scaffold1123.3,151.1908482,-0.424762767,0.07423784,-5.72164769,1.05E-08,1.19E-07,TRUE
SymbC1.scaffold1123.5,33.57950313,-0.702310536,0.143085168,-4.908339177,9.19E-07,7.32E-06,TRUE
SymbC1.scaffold1123.7,7.189723805,-1.105180917,0.273983761,-4.033746064,5.49E-05,2.97E-04,TRUE
SymbC1.scaffold11237.1,99.16111952,-0.987202358,0.118550408,-8.327279309,8.27E-17,2.84E-15,TRUE
SymbC1.scaffold11241.1,34.13307584,-0.846485798,0.144950257,-5.839836463,5.23E-09,6.22E-08,TRUE
SymbC1.scaffold1125.4,11.44175907,1.104978652,0.231499305,4.773140251,1.81E-06,1.35E-05,TRUE
SymbC1.scaffold1125.6,35.64037127,0.429996677,0.116291104,3.697588739,2.18E-04,0.001014936,TRUE
SymbC1.scaffold11261.1,79.26318075,0.398263734,0.119828532,3.323613574,8.89E-04,0.003492834,TRUE
SymbC1.scaffold11272.1,3.700600744,1.585149815,0.342792765,4.624221914,3.76E-06,2.63E-05,TRUE
SymbC1.scaffold1128.8,19.08858254,-0.573844539,0.167441803,-3.427128282,6.10E-04,0.002514509,TRUE
SymbC1.scaffold1128.9,3.653568168,1.502823293,0.364232998,4.125994352,3.69E-05,2.08E-04,TRUE
SymbC1.scaffold11285.1,120.5260794,1.187227722,0.132428525,8.965045302,3.10E-19,1.36E-17,TRUE
SymbC1.scaffold1129.1,29.3622757,-0.53676825,0.136182637,-3.941532198,8.10E-05,4.21E-04,TRUE
SymbC1.scaffold1129.3,43.4911429,0.430045717,0.149280641,2.880786909,0.003966837,0.01282816,TRUE
