baseMean,log2FoldChange,sig
7.192797645,-1.106099043,TRUE
23.95008897,-1.106057875,TRUE
1.32265952,-1.104770597,FALSE
1.234964075,-1.102652744,FALSE
5.211972613,-1.101022699,TRUE
12.63236468,-1.100230107,TRUE
3.518082541,-1.099886935,TRUE
8.268177268,-1.099680999,TRUE
0.595757221,-1.099195352,FALSE
0.710537498,-1.098497743,FALSE
6.826942309,-1.098161325,TRUE
41.69057013,-1.097879106,TRUE
4.546045152,-1.097769334,TRUE
2.732468653,-1.097591348,TRUE
8.522828231,-1.097232615,TRUE
32.64600971,-1.097064144,TRUE
13.12429592,-1.096827969,TRUE
4.428055021,-1.09670711,TRUE
48.31965377,-1.096487608,TRUE
26.35335584,-1.096264775,TRUE
56.76297476,-1.095813116,TRUE
123.1167341,-1.095287295,TRUE
1.892953037,-1.093674628,FALSE
11.70053217,-1.093459036,TRUE
5.751582587,-1.092955337,TRUE
25.85525583,-1.092698111,TRUE
87.56732907,-1.09267129,TRUE
26.80807272,-1.092584522,TRUE
