Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SymbC1.scaffold1118.4,39.86474949,0.277629099,0.115439794,2.404968774,0.016173848,0.042489508
SymbC1.scaffold11181.1,21.39065802,1.801033568,0.205991583,8.743238622,2.27e-18,9.04e-17
SymbC1.scaffold1119.3,8.144482292,-1.010927059,0.273653744,-3.69418318,2.21e-4,0.001026837
SymbC1.scaffold11194.1,33.87560666,-0.689093293,0.132140594,-5.214849349,1.84e-7,1.67e-6
SymbC1.scaffold112.1,12.82401384,0.539299646,0.212210853,2.54133867,0.01104289,0.030802602
SymbC1.scaffold112.3,31.26916918,-0.520188692,0.186597257,-2.787761731,0.005307356,0.016435095
SymbC1.scaffold112.6,29.58010806,-0.896472711,0.18518667,-4.840913831,1.29e-6,9.99e-6
SymbC1.scaffold1120.1,52.31217765,0.922379142,0.188298746,4.898487963,9.66e-7,7.67e-6
SymbC1.scaffold1120.3,60.61496517,-0.252483654,0.107451429,-2.349746825,0.018786184,0.048072404
SymbC1.scaffold11209.1,16.34011811,-0.511327702,0.179622237,-2.846683748,0.004417723,0.014044706
SymbC1.scaffold1121.1,10.9993099,0.669208826,0.282475417,2.369086955,0.01783206,0.046171453
SymbC1.scaffold1121.2,57.45621403,0.63192343,0.163470536,3.865671728,1.11e-4,5.54e-4
SymbC1.scaffold1121.4,67.31114314,0.33694858,0.110603173,3.046463954,0.002315502,0.00802584
SymbC1.scaffold11213.1,17.83699981,-0.610314554,0.17209604,-3.54636025,3.91e-4,0.001700369
SymbC1.scaffold1122.1,8.580948769,-0.97860646,0.257934335,-3.794013935,1.48e-4,7.2e-4
SymbC1.scaffold1122.2,15.22643701,-0.581455149,0.19361243,-3.0031912100000002,0.002671645,0.009099781
SymbC1.scaffold1122.3,102.711105,-0.511162424,0.178010296,-2.871532915,0.004084862,0.013134689
SymbC1.scaffold1122.4,1.131806845,-1.410424924,0.593565033,-2.376192743,0.017492323,0.045405865
SymbC1.scaffold11221.1,16.9622683,-1.063009093,0.174356498,-6.096756401,1.08e-9,1.44e-8
SymbC1.scaffold11223.1,186.2557351,0.567236701,0.096479959,5.879321561,4.12e-9,5e-8
SymbC1.scaffold11225.2,50.94361525,-0.720041393,0.115578324,-6.229899926,4.67e-10,6.53e-9
SymbC1.scaffold11226.2,20.16439504,-1.071481831,0.175220767,-6.115039041,9.65e-10,1.3e-8
SymbC1.scaffold1123.1,27.8221598,0.41562637,0.152098619,2.732611068,0.006283448,0.018955717
SymbC1.scaffold1123.3,151.2124643,-0.427565491,0.074303682,-5.754297507,8.7e-9,9.89e-8
SymbC1.scaffold1123.5,33.58726881,-0.704971571,0.143261555,-4.920870577,8.62e-7,6.91e-6
