Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
fd1,1000,1043,984,285,387,383,336,348,325,645,160
Fdft1,84,95,101,92,96,60,100,43,57,97,30
FEN1,76,95,124,90,133,70,76,60,75,124,43
Fer1l4,30,47,41,36,55,26,46,20,27,56,20
FES1,404,518,443,256,320,171,198,184,172,370,119
fft1,120,163,145,139,147,87,100,87,79,204,71
FGRAMPH1_01T20223,29,45,38,27,34,9,28,7,16,23,10
FH11,100,167,136,181,255,81,147,76,79,198,72
FH14,120,187,188,41,44,45,40,40,42,78,31
FH7,26,27,28,24,50,31,28,37,26,76,22
fhaB,38,57,62,53,64,24,29,21,21,44,17
fhkA,247,265,271,215,257,80,185,95,110,222,83
fhkC,160,183,184,156,178,148,133,112,117,243,82
fhkD,29,40,36,20,56,29,27,27,24,52,17
Fig4,56,79,72,85,85,33,71,37,45,103,27
fimA,16,18,24,26,17,48,13,38,34,113,24
fkbp1a,76,86,84,65,68,31,63,52,42,92,32
FKBP20-2,15,8,9,9,11,0,5,1,4,5,0
FKBP5,16,14,28,19,17,5,9,6,4,17,4
FKBP59,31,42,26,39,38,20,28,22,26,49,15
FKBP70,6,9,10,12,10,5,9,9,7,7,5
FLA10,568,823,737,481,547,319,373,308,335,674,247
Flad1,212,219,204,154,198,73,139,88,90,153,50
flaEY,54,76,73,53,84,57,74,65,56,126,55
flpA,50,67,73,53,81,63,60,54,67,131,37
FLS2,1,2,0,4,4,4,6,0,4,7,1
FMO1,254,299,296,215,203,61,139,70,57,161,41
fmt,71,79,74,73,64,31,48,27,26,68,25
FNTB,65,87,86,67,75,5,32,2,3,10,2
FOLR3,11,12,15,13,11,28,14,29,33,75,27
foxred1,31,31,50,43,44,32,27,27,38,69,14
FPR1,6,1,4,1,2,1,1,2,0,3,0
FPR2,6,10,7,11,14,3,9,9,5,7,9
frs-2,209,228,229,107,152,77,119,71,82,161,70
FTCD,846,1112,1092,889,960,304,591,264,282,578,188
FTH1,35,33,42,73,91,53,58,36,32,96,28
FTR1,17,22,17,37,52,19,27,13,20,36,10
ftsH1,50,74,62,144,116,51,78,61,59,132,52
FUC1,121,129,120,89,87,22,59,36,32,56,28
fucT,51,60,77,24,33,39,41,45,63,133,40
FucT6,20,12,19,23,17,10,9,11,19,42,18
fusA2,14,16,18,13,18,20,15,20,21,40,12
FV3-083R,159,178,175,115,138,35,91,34,38,98,36
GA11319,76,96,114,70,95,43,49,64,62,107,43
gab-1,125,133,132,122,129,63,88,68,94,159,62
Gabbr1,163,227,208,189,229,14,160,28,34,52,37
GAK,23,25,26,11,27,32,19,44,41,56,23
galD,38,36,32,27,28,23,24,26,23,46,21
Galnt3,242,306,290,189,252,102,164,99,87,254,73
GALT3,51,73,81,33,34,21,23,26,21,50,11
GALT4,29,40,34,34,38,42,38,45,45,97,34
Gamt,56,53,47,34,41,18,15,16,11,33,10
GAPC1,15,18,11,13,23,3,14,13,13,20,9
GAPDG,361,493,455,403,361,196,231,184,149,395,127
garR,12,15,15,18,19,6,9,7,2,11,2
Gars,79,84,84,84,91,79,63,79,70,145,47
GART,30,54,99,32,62,46,37,24,39,76,40
GATL4,126,133,113,93,96,41,61,75,54,133,46
gba-3,180,209,207,133,181,51,88,36,66,117,30
GBE1,149,208,221,141,262,98,161,105,126,255,98
gbh,124,154,123,159,130,63,100,79,80,197,56
Gcfc2,33,37,49,52,92,52,81,37,32,105,30
GCLC,57,72,75,66,79,70,62,68,83,153,45
gcn2,125,182,180,83,320,142,167,112,109,248,58
GCP3,167,173,199,165,145,58,80,56,66,134,54
